SK_ID_CURR,TARGET
270381,0.0
320150,0.0
379308,0.0
156177,0.0
334513,0.0
179958,0.0
290700,0.0
207838,0.0
184262,0.0
225696,0.0
358657,0.0
103967,0.0
449512,0.0
157665,0.0
416921,0.0
440243,0.0
401347,0.0
413964,0.0
143069,0.0
455284,0.0
255873,0.0
131018,0.0
414934,0.0
313805,0.0
155105,0.0
407859,0.0
293116,0.0
100114,0.0
211966,0.0
316997,0.0
132265,0.0
421417,0.0
222957,0.0
223620,0.0
166811,0.0
214667,0.0
435190,0.0
382358,0.0
208536,0.0
210486,0.0
432937,0.0
376870,0.0
436374,0.0
316249,0.0
218681,0.0
228338,0.0
411771,0.0
383050,0.0
137948,0.0
420572,0.0
215059,0.0
168606,0.0
398877,0.0
236934,0.0
309425,0.0
226225,0.0
341154,0.0
212701,0.0
138767,0.0
200530,0.0
405025,0.0
147556,0.0
376277,0.0
153350,0.0
289324,0.0
391973,0.0
187711,0.0
146769,0.0
435122,0.0
153487,0.0
313101,0.0
217849,0.0
195061,0.0
279507,0.0
121941,0.0
192019,0.0
218409,0.0
120673,0.0
261862,0.0
403027,0.0
267641,0.0
429331,0.0
309456,0.0
131453,0.0
425893,0.0
344336,0.0
391425,0.0
447055,0.0
324579,0.0
409385,0.0
299487,0.0
234490,0.0
149899,0.0
432488,0.0
316460,0.0
307907,0.0
441583,0.0
304871,0.0
256427,0.0
175900,0.0
179183,0.0
376318,0.0
266470,0.0
155038,0.0
213441,0.0
142541,0.0
451506,0.0
127817,0.0
421002,0.0
333916,0.0
338380,0.0
198671,0.0
128035,0.0
368639,0.0
272873,0.0
152925,0.0
336256,0.0
182892,0.0
326105,0.0
308384,0.0
423196,0.0
316123,0.0
172682,0.0
133830,0.0
146279,0.0
256535,0.0
415713,0.0
156537,0.0
262333,0.0
179353,0.0
258352,0.0
320976,0.0
216443,0.0
399584,0.0
435406,0.0
213259,0.0
312972,0.0
198853,0.0
445229,0.0
438805,0.0
340137,0.0
388100,0.0
161357,0.0
147002,0.0
112044,0.0
380640,0.0
337100,0.0
334274,0.0
291946,0.0
327155,0.0
217111,0.0
137869,0.0
407107,0.0
199375,0.0
171745,0.0
233385,0.0
233169,0.0
198567,0.0
166474,0.0
275102,0.0
175796,0.0
116848,0.0
378417,0.0
338366,0.0
427239,0.0
328885,0.0
233000,0.0
276454,0.0
417946,0.0
134121,0.0
366517,0.0
393637,0.0
424127,0.0
313963,0.0
196967,0.0
315078,0.0
390414,0.0
203913,0.0
160633,0.0
342955,0.0
347885,0.0
444537,0.0
114604,0.0
102785,0.0
154439,0.0
201897,0.0
250863,0.0
271302,0.0
208687,0.0
229067,0.0
210303,0.0
314590,0.0
101214,0.0
194215,0.0
260131,0.0
109682,0.0
451271,0.0
326337,0.0
329980,0.0
329684,0.0
324300,0.0
372960,0.0
257256,0.0
363013,0.0
111975,0.0
289482,0.0
132392,0.0
369189,0.0
433497,0.0
101553,0.0
252093,0.0
321426,0.0
220435,0.0
313994,0.0
284878,0.0
114606,0.0
366070,0.0
266151,0.0
239222,0.0
259311,0.0
258735,0.0
260210,0.0
252739,0.0
414950,0.0
235135,0.0
428986,0.0
285339,0.0
139731,0.0
126572,0.0
345782,0.0
353562,0.0
193183,0.0
284105,0.0
425790,0.0
270618,0.0
290621,0.0
428079,0.0
449921,0.0
326185,0.0
212892,0.0
283045,0.0
236535,0.0
353070,0.0
308931,0.0
293057,0.0
127530,0.0
265031,0.0
240937,0.0
149252,0.0
150375,0.0
251962,0.0
403590,0.0
138291,0.0
237236,0.0
355031,0.0
259615,0.0
342381,0.0
241405,0.0
286562,0.0
327114,0.0
198399,0.0
402318,0.0
196563,0.0
445038,0.0
261180,0.0
112166,0.0
396283,0.0
305958,0.0
244645,0.0
388569,0.0
368979,0.0
348966,0.0
288127,0.0
128120,0.0
305997,0.0
265712,0.0
340849,0.0
202538,0.0
229441,0.0
241980,0.0
252794,0.0
297972,0.0
258020,0.0
106556,0.0
429481,0.0
330632,0.0
298908,0.0
356500,0.0
115577,0.0
346178,0.0
107371,0.0
409309,0.0
199337,0.0
369384,0.0
101993,0.0
191120,0.0
381865,0.0
177160,0.0
448107,0.0
237819,0.0
257709,0.0
282530,0.0
336228,0.0
379619,0.0
212649,0.0
236032,0.0
104514,0.0
366241,0.0
319045,0.0
384031,0.0
422694,0.0
142050,0.0
322808,0.0
391985,0.0
301463,0.0
258941,0.0
195152,0.0
229413,0.0
188973,0.0
179830,0.0
321019,0.0
400974,0.0
117297,0.0
266643,0.0
150134,0.0
333135,0.0
123053,0.0
124031,0.0
115746,0.0
123154,0.0
308162,0.0
115431,0.0
367682,0.0
340598,0.0
221303,0.0
243785,0.0
168635,0.0
392648,0.0
424196,0.0
227113,0.0
376412,0.0
413772,0.0
267658,0.0
159010,0.0
409424,0.0
429472,0.0
153736,0.0
401781,0.0
